dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
112,1735,2024-02-08T20:14:34.000000,0.5556,79.0,4188.0,44.60389,-120.68472
113,1752,2024-02-08T20:10:05.000000,16.6667,34.0,278.0,32.97364,-115.1735
114,1807,2024-02-08T19:35:04.000000,17.2222,76.0,3274.0,22.08924,-159.67904
115,1810,2024-02-08T20:10:51.000000,6.1111,56.0,2992.0,43.56752,-116.2113
116,1831,2024-02-08T20:01:44.000000,-3.8889,37.0,9235.0,42.97795,-109.12211
117,1835,2024-02-08T19:33:14.000000,8.3333,71.0,1890.0,38.73806,-123.30839
118,1858,2024-02-08T19:56:19.000000,3.8889,79.0,6155.0,40.30587,-120.90332
119,1872,2024-02-08T19:50:31.000000,17.7778,27.0,2839.0,29.59328,-103.26248
120,1873,2024-02-08T20:03:45.000000,1.6667,68.0,5590.0,42.18917,-120.84722
121,1886,2024-02-08T19:27:24.000000,8.3333,73.0,2055.0,36.72714,-120.76587
122,1913,2024-02-08T17:12:04.000000,15.0,20.0,2280.0,39.67694,-79.77194
123,1930,2024-02-08T20:07:24.000000,11.1111,29.0,1408.0,41.90056,-79.11861
124,1934,2024-02-08T20:08:14.000000,-1.1111,89.0,2515.0,45.67319,-102.16589
125,1958,2024-02-08T19:25:34.000000,5.0,74.0,2499.0,40.61948,-121.89962
126,1964,2024-02-08T14:17:54.000000,2.7778,64.0,1705.0,38.81667,-79.27722
127,1968,2024-02-08T19:55:34.000000,11.1111,57.0,1278.0,34.42972,-118.66712
128,1975,2024-02-08T20:15:54.000000,2.7778,79.0,3652.0,39.97333,-120.94194
129,1987,2024-02-08T20:13:05.000000,2.7778,100.0,3064.0,43.72528,-122.80556
130,2000,2024-02-08T20:12:41.000000,10.0,61.0,1436.0,37.69303,-121.60933
131,2010,2024-02-08T20:19:44.000000,16.1111,80.0,280.0,35.58917,-89.58692
132,2026,2024-02-08T19:50:04.000000,8.8889,81.0,627.0,39.35262,-123.60158
133,2032,2024-02-08T20:11:55.000000,1.1111,76.0,4020.0,47.15222,-120.94667
134,2037,2024-02-08T19:50:44.000000,10.0,72.0,644.0,38.98736,-123.34846
135,2040,2024-02-08T20:03:34.000000,12.2222,54.0,1079.0,46.00047,-91.5
136,2070,2024-02-08T19:37:04.000000,-1.6667,89.0,6717.0,37.88975,-111.46924
137,2095,2024-02-08T19:59:44.000000,21.1111,44.0,167.0,30.45819,-84.40178
