dataId,pointId,timestamp,temperature,humidity,altitude
299,4140,2024-02-08T14:16:14.000000,4.4444,46.0,2328.0
300,4142,2024-02-08T14:08:41.000000,3.8889,57.0,1644.0
301,4143,2024-02-08T19:45:54.000000,-3.8889,71.0,5658.0
302,4145,2024-02-08T19:57:44.000000,0.5556,68.0,4644.0
303,4146,2024-02-08T19:48:44.000000,5.0,52.0,5440.0
304,4147,2024-02-08T19:33:23.000000,-28.5556,77.8,958.0
305,4150,2024-02-08T14:50:44.000000,7.2222,48.0,1402.0
306,4152,2024-02-08T20:14:54.000000,14.4444,32.0,1375.0
307,4156,2024-02-08T20:22:23.000000,-7.0,93.1,1329.0
308,4167,2024-02-08T20:03:14.000000,10.0,52.0,900.0
309,4181,2024-02-08T19:36:14.000000,-1.1111,91.0,6833.0
310,4184,2024-02-08T19:33:51.000000,9.4444,75.0,1500.0
311,4186,2024-02-08T20:05:05.000000,12.7778,31.0,3058.0
312,4196,2024-02-08T20:15:44.000000,2.2222,66.0,5280.0
313,4197,2024-02-08T19:58:34.000000,21.1111,40.0,2451.0
314,4199,2024-02-08T19:27:24.000000,-11.6667,62.0,2050.0
315,4200,2024-02-08T20:10:14.000000,17.2222,21.0,1854.0
316,4205,2024-02-08T14:16:04.000000,2.7778,53.0,1909.0
317,4210,2024-02-08T15:50:14.000000,6.6667,41.0,2054.0
318,4214,2024-02-08T19:50:04.000000,-19.4444,76.0,863.0
319,4222,2024-02-08T19:50:29.000000,15.5556,22.0,2308.0
320,4224,2024-02-08T19:50:09.000000,19.4444,68.0,7.0
321,4227,2024-02-08T19:50:19.000000,21.1111,62.0,20.0
322,4234,2024-02-08T15:50:53.000000,8.8889,37.0,1142.0
323,4235,2024-02-08T15:49:34.000000,10.5556,40.0,1268.0
324,4255,2024-02-08T19:57:03.000000,2.7778,65.0,321.0
325,4256,2024-02-08T14:11:44.000000,-4.4444,95.0,150.0
326,4257,2024-02-08T19:50:03.000000,-7.7778,90.0,1226.0
327,4258,2024-02-08T20:14:59.000000,12.2222,67.0,95.0
328,4259,2024-02-08T19:34:31.000000,6.6667,62.0,2975.0
329,4262,2024-02-08T20:09:15.000000,-1.1111,92.0,6629.0
330,4263,2024-02-08T20:06:15.000000,-3.3333,89.0,7282.0
331,4266,2024-02-08T19:28:25.000000,1.6667,79.0,4570.0
332,4268,2024-02-08T19:34:41.000000,-4.4444,77.0,8490.0
333,4281,2024-02-08T19:46:14.000000,15.0,30.0,1200.0
334,4288,2024-02-08T20:04:14.000000,6.1111,85.0,1455.0
335,4290,2024-02-08T19:35:59.000000,16.6667,22.0,2072.0
336,4298,2024-02-08T20:15:44.000000,-6.6667,92.0,6607.0
337,4299,2024-02-08T19:31:44.000000,0.0,84.0,5377.0
338,4312,2024-02-08T14:07:04.000000,-11.1111,90.0,7570.0
339,4315,2024-02-08T19:53:04.000000,1.1111,71.0,3800.0
340,4317,2024-02-08T20:14:44.000000,-1.6667,80.0,6950.0
341,4325,2024-02-08T19:57:54.000000,15.0,72.0,700.0
342,4326,2024-02-08T20:23:14.000000,18.3333,47.0,2365.0
343,4350,2024-02-08T19:29:14.000000,0.0,71.0,4770.0
344,4351,2024-02-08T19:28:54.000000,-3.8889,94.0,5949.0
345,4353,2024-02-08T19:28:44.000000,-2.2222,88.0,5120.0
346,4356,2024-02-08T20:21:24.000000,2.2222,100.0,1657.0
347,4365,2024-02-08T20:13:54.000000,4.4444,90.0,1609.0
348,4366,2024-02-08T20:12:54.000000,-2.7778,84.0,8530.0
349,4367,2024-02-08T20:07:24.000000,16.6667,34.0,1509.0
350,4369,2024-02-08T19:56:04.000000,4.4444,53.0,4420.0
351,4372,2024-02-08T20:02:14.000000,6.6667,90.0,1948.0
352,4373,2024-02-08T20:00:04.000000,-3.3333,95.0,6629.0
353,4374,2024-02-08T20:07:54.000000,2.2222,64.0,4875.0
354,4375,2023-10-12T13:57:14.000000,12.2222,100.0,1986.0
355,4377,2024-02-08T19:45:04.000000,10.0,66.0,1100.0
356,4381,2024-02-08T19:30:24.000000,-0.5556,92.0,6943.0
357,4384,2024-02-08T20:19:04.000000,15.0,27.0,1920.0
358,4386,2024-02-08T20:04:34.000000,3.8889,94.0,1368.0
359,4387,2024-02-08T19:45:34.000000,22.7778,74.0,5.0
360,4388,2024-02-08T19:49:14.000000,0.5556,72.0,5976.0
361,4390,2024-02-08T16:06:44.000000,11.1111,27.0,3480.0
362,4391,2024-02-08T16:07:24.000000,11.6667,22.0,4135.0
363,4392,2024-02-08T20:04:34.000000,1.6667,87.0,4350.0
364,4393,2024-02-08T19:55:34.000000,2.2222,24.0,7630.0
365,4394,2024-02-08T20:16:49.000000,10.5556,57.0,870.0
366,4396,2024-02-08T20:12:44.000000,12.2222,49.0,180.0
367,4398,2024-02-08T20:05:24.000000,11.6667,35.0,1322.0
368,4399,2024-02-08T19:50:14.000000,2.2222,69.0,5610.0
369,4402,2024-02-08T20:22:14.000000,4.4444,88.0,1590.0
370,4403,2024-02-08T20:15:09.000000,12.7778,52.0,420.0
371,4406,2024-02-08T19:48:54.000000,6.6667,49.0,5501.0
372,4407,2024-02-08T20:05:44.000000,19.4444,76.0,500.0
373,4408,2024-02-08T19:57:54.000000,-6.1111,71.0,11078.0
374,4409,2024-02-08T20:22:34.000000,-2.2222,52.0,8993.0
375,4410,2024-02-08T20:06:04.000000,21.6667,71.0,230.0
376,4411,2024-02-08T15:04:44.000000,15.0,86.0,200.0
377,4412,2024-02-08T20:03:14.000000,23.8889,60.0,123.0
378,4414,2024-02-08T19:57:04.000000,-6.1111,69.0,10420.0
379,4415,2024-02-08T19:44:14.000000,18.8889,26.0,630.0
380,4418,2024-02-08T19:54:14.000000,-1.1111,78.0,6010.0
381,4419,2024-02-08T19:54:04.000000,21.6667,34.0,1215.0
382,4420,2024-02-08T20:03:54.000000,0.5556,75.0,4370.0
383,4421,2024-02-08T19:41:24.000000,-5.0,85.0,8502.0
384,4429,2024-02-08T20:03:54.000000,3.3333,41.0,8500.0
385,4430,2024-02-08T20:08:14.000000,6.1111,32.0,6659.0
386,4435,2024-02-08T20:21:26.000000,4.4444,75.0,3416.0
387,4440,2024-02-08T20:04:04.000000,1.6667,50.0,7650.0
388,4441,2024-02-08T19:35:39.000000,5.0,57.0,6250.0
389,4445,2024-02-08T20:05:54.000000,5.5556,40.0,6488.0
390,4447,2024-02-08T20:05:54.000000,11.1111,17.0,5839.0
391,4456,2024-02-08T20:13:04.000000,9.4444,35.0,5600.0
392,4462,2024-02-08T20:15:44.000000,13.3333,42.0,5811.0
393,4463,2024-02-08T20:07:14.000000,3.8889,59.0,7046.0
394,4469,2024-02-08T19:47:31.000000,-3.3333,77.0,8010.0
395,4491,2024-02-08T20:05:44.000000,3.3333,42.0,8289.0
396,4496,2024-02-08T20:16:24.000000,2.2222,46.0,8620.0
397,4505,2024-02-08T20:22:35.000000,15.5556,71.0,653.0
398,4506,2024-02-08T19:26:24.000000,8.3333,59.0,1540.0
399,4509,2024-02-08T19:46:04.000000,9.4444,71.0,1857.0
400,4516,2024-02-08T15:04:44.000000,2.7778,85.0,1430.0
401,4519,2024-02-08T19:40:44.000000,9.4444,68.0,375.0
