dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
225,52.52_13.41,2024-03-12T08:00:00.000000,7.6584997,85.663826,38.0,52.52,13.41
226,52.52_13.41,2024-03-12T09:00:00.000000,9.9585,77.77987,38.0,52.52,13.41
227,52.52_13.41,2024-03-12T10:00:00.000000,11.5585,69.44844,38.0,52.52,13.41
228,52.52_13.41,2024-03-12T11:00:00.000000,12.5085,64.789116,38.0,52.52,13.41
229,52.52_13.41,2024-03-12T12:00:00.000000,12.8085,62.00945,38.0,52.52,13.41
230,52.52_13.41,2024-03-12T13:00:00.000000,13.408501,56.601543,38.0,52.52,13.41
231,52.52_13.41,2024-03-12T14:00:00.000000,13.1085005,55.351807,38.0,52.52,13.41
232,52.52_13.41,2024-03-12T15:00:00.000000,12.7085,58.022747,38.0,52.52,13.41
233,52.52_13.41,2024-03-12T16:00:00.000000,11.658501,64.82379,38.0,52.52,13.41
234,52.52_13.41,2024-03-12T17:00:00.000000,10.1085005,71.85491,38.0,52.52,13.41
235,52.52_13.41,2024-03-12T18:00:00.000000,9.1085005,76.04527,38.0,52.52,13.41
236,52.52_13.41,2024-03-12T19:00:00.000000,8.7085,77.85457,38.0,52.52,13.41
237,52.52_13.41,2024-03-12T20:00:00.000000,8.1085005,80.52201,38.0,52.52,13.41
238,52.52_13.41,2024-03-12T21:00:00.000000,7.9585,81.346954,38.0,52.52,13.41
239,52.52_13.41,2024-03-12T22:00:00.000000,6.9084997,86.48427,38.0,52.52,13.41
240,52.52_13.41,2024-03-12T23:00:00.000000,5.8085,92.641945,38.0,52.52,13.41
241,52.52_13.41,2024-03-13T00:00:00.000000,5.0084996,95.230316,38.0,52.52,13.41
242,52.52_13.41,2024-03-13T01:00:00.000000,4.8085,95.22279,38.0,52.52,13.41
243,52.52_13.41,2024-03-13T02:00:00.000000,4.0085,96.88546,38.0,52.52,13.41
244,52.52_13.41,2024-03-13T03:00:00.000000,2.8585,98.24275,38.0,52.52,13.41
245,52.52_13.41,2024-03-13T04:00:00.000000,2.6585,98.940636,38.0,52.52,13.41
246,52.52_13.41,2024-03-13T05:00:00.000000,2.0085,99.64389,38.0,52.52,13.41
247,52.52_13.41,2024-03-13T06:00:00.000000,2.3585,99.644905,38.0,52.52,13.41
